V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
0.0,Year,2016,E08000022,,,Enterprise,84,84 : Public administration & defence
105.0,Year,2016,E08000022,,,Enterprise,85,85 : Education
265.0,Year,2016,E08000022,,,Enterprise,86-88,86-88 : Health
345.0,Year,2016,E08000022,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
5060.0,Year,2016,E08000022,,,Enterprise,Total,Total
25.0,Year,2016,E08000023,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
290.0,Year,2016,E08000023,,,Enterprise,05-39,05-39 : Production
455.0,Year,2016,E08000023,,,Enterprise,41-43,41-43 : Construction
85.0,Year,2016,E08000023,,,Enterprise,45,45 : Motor trades
95.0,Year,2016,E08000023,,,Enterprise,46,46 : Wholesale
325.0,Year,2016,E08000023,,,Enterprise,47,47 : Retail
125.0,Year,2016,E08000023,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
335.0,Year,2016,E08000023,,,Enterprise,55-56,55-56 : Accommodation & food services
140.0,Year,2016,E08000023,,,Enterprise,58-63,58-63 : Information & communication
45.0,Year,2016,E08000023,,,Enterprise,64-66,64-66 : Finance & insurance
70.0,Year,2016,E08000023,,,Enterprise,68,68 : Property
615.0,Year,2016,E08000023,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
290.0,Year,2016,E08000023,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2016,E08000023,,,Enterprise,84,84 : Public administration & defence
65.0,Year,2016,E08000023,,,Enterprise,85,85 : Education
155.0,Year,2016,E08000023,,,Enterprise,86-88,86-88 : Health
250.0,Year,2016,E08000023,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
3365.0,Year,2016,E08000023,,,Enterprise,Total,Total
55.0,Year,2016,E08000024,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
460.0,Year,2016,E08000024,,,Enterprise,05-39,05-39 : Production
805.0,Year,2016,E08000024,,,Enterprise,41-43,41-43 : Construction
210.0,Year,2016,E08000024,,,Enterprise,45,45 : Motor trades
205.0,Year,2016,E08000024,,,Enterprise,46,46 : Wholesale
635.0,Year,2016,E08000024,,,Enterprise,47,47 : Retail
260.0,Year,2016,E08000024,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
580.0,Year,2016,E08000024,,,Enterprise,55-56,55-56 : Accommodation & food services
265.0,Year,2016,E08000024,,,Enterprise,58-63,58-63 : Information & communication
85.0,Year,2016,E08000024,,,Enterprise,64-66,64-66 : Finance & insurance
145.0,Year,2016,E08000024,,,Enterprise,68,68 : Property
820.0,Year,2016,E08000024,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
435.0,Year,2016,E08000024,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2016,E08000024,,,Enterprise,84,84 : Public administration & defence
115.0,Year,2016,E08000024,,,Enterprise,85,85 : Education
295.0,Year,2016,E08000024,,,Enterprise,86-88,86-88 : Health
455.0,Year,2016,E08000024,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
5825.0,Year,2016,E08000024,,,Enterprise,Total,Total
11660.0,Year,2016,E12000002,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
15825.0,Year,2016,E12000002,,,Enterprise,05-39,05-39 : Production
29125.0,Year,2016,E12000002,,,Enterprise,41-43,41-43 : Construction
8135.0,Year,2016,E12000002,,,Enterprise,45,45 : Motor trades
11110.0,Year,2016,E12000002,,,Enterprise,46,46 : Wholesale
23940.0,Year,2016,E12000002,,,Enterprise,47,47 : Retail
12915.0,Year,2016,E12000002,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
15850.0,Year,2016,E12000002,,,Enterprise,55-56,55-56 : Accommodation & food services
15300.0,Year,2016,E12000002,,,Enterprise,58-63,58-63 : Information & communication
6750.0,Year,2016,E12000002,,,Enterprise,64-66,64-66 : Finance & insurance
9030.0,Year,2016,E12000002,,,Enterprise,68,68 : Property
43475.0,Year,2016,E12000002,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
22590.0,Year,2016,E12000002,,,Enterprise,77-82,77-82 : Business administration & support services
535.0,Year,2016,E12000002,,,Enterprise,84,84 : Public administration & defence
